h,s,v,value
26,117,200,0
26,118,199,0
26,118,199,0
26,117,200,0
26,120,200,0
26,120,200,0
26,120,199,0
26,124,198,0
26,124,198,0
26,123,199,0
26,122,200,0
26,122,201,0
26,121,202,0
26,121,202,0
26,121,202,0
26,119,202,0
26,119,202,0
26,119,200,0
26,119,200,0
26,119,200,0
26,119,200,0
26,119,200,0
26,119,200,0
26,118,201,0
26,118,201,0
26,119,200,0
26,117,199,0
26,117,198,0
26,118,197,0
26,118,195,0
26,120,194,0
26,118,194,0
26,118,196,0
26,119,199,0
26,119,200,0
26,119,199,0
26,120,198,0
26,121,196,0
26,122,194,0
26,122,194,0
26,122,194,0
26,122,195,0
26,120,197,0
26,120,198,0
26,120,197,0
26,121,196,0
26,122,195,0
26,121,196,0
26,120,197,0
26,122,194,0
26,122,194,0
27,125,194,0
27,124,196,0
27,123,197,0
27,123,197,0
26,120,197,0
27,117,194,0
27,114,197,0
27,109,195,0
27,104,193,0
27,103,191,0
27,113,189,0
27,115,191,0
27,113,194,0
27,116,196,0
26,117,198,0
26,120,198,0
26,120,199,0
26,120,200,0
26,117,201,0
26,117,201,0
26,115,201,0
26,115,202,0
26,116,202,0
26,116,202,0
26,119,199,0
26,120,198,0
26,119,197,0
26,119,197,0
26,118,198,0
26,118,199,0
26,117,200,0
26,117,200,0
26,117,200,0
26,118,199,0
26,119,197,0
26,120,196,0
26,120,196,0
26,119,197,0
26,118,198,0
26,118,198,0
26,118,198,0
26,117,200,0
26,117,201,0
26,117,200,0
26,120,200,0
26,120,200,0
26,120,200,0
26,124,198,0
26,124,198,0
26,124,198,0
26,124,198,0
26,123,199,0
26,122,200,0
26,122,201,0
26,121,202,0
26,121,202,0
26,119,202,0
26,119,202,0
26,119,200,0
26,119,199,0
26,119,199,0
26,119,200,0
26,119,200,0
26,119,200,0
26,119,199,0
26,120,198,0
26,121,196,0
26,121,196,0
26,120,197,0
26,120,197,0
26,118,196,0
26,121,196,0
26,118,196,0
26,121,196,0
27,122,199,0
27,121,200,0
27,121,200,0
27,122,198,0
27,124,196,0
27,124,195,0
27,124,196,0
27,123,197,0
27,121,200,0
27,121,200,0
27,122,199,0
27,123,197,0
27,124,196,0
27,124,196,0
27,123,197,0
27,124,196,0
27,125,194,0
27,128,194,0
27,128,194,0
27,127,195,0
27,126,196,0
27,126,197,0
27,124,196,0
27,124,196,0
27,115,197,0
27,112,195,0
27,108,192,0
27,106,190,0
27,112,191,0
27,114,193,0
27,112,196,0
27,115,197,0
26,117,199,0
26,119,199,0
26,120,200,0
26,119,201,0
26,116,202,0
26,116,202,0
26,115,202,0
26,115,202,0
26,116,203,0
26,116,203,0
26,118,201,0
26,119,199,0
26,118,199,0
26,118,198,0
26,118,198,0
26,118,199,0
26,117,200,0
26,117,201,0
26,117,201,0
26,117,200,0
26,118,198,0
26,118,198,0
26,118,198,0
26,118,198,0
26,119,197,0
26,119,197,0
26,118,199,0
26,116,203,0
26,118,204,0
26,119,202,0
26,119,201,0
26,119,202,0
26,122,200,0
26,124,198,0
26,124,197,0
26,126,198,0
26,126,198,0
26,126,199,0
26,126,199,0
26,125,200,0
26,122,201,0
26,122,201,0
26,122,201,0
26,122,201,0
26,120,200,0
26,120,200,0
26,120,200,0
26,120,200,0
26,122,200,0
26,123,199,0
26,124,197,0
26,125,196,0
26,125,196,0
26,124,197,0
26,123,199,0
26,123,199,0
26,120,199,0
26,123,199,0
26,120,199,0
26,123,199,0
26,124,198,0
26,126,199,0
26,126,199,0
26,126,198,0
26,126,198,0
26,126,198,0
26,126,198,0
26,126,198,0
26,124,201,0
26,124,201,0
26,126,198,0
26,128,195,0
26,128,195,0
26,127,197,0
26,127,197,0
26,128,196,0
26,128,196,0
26,128,196,0
26,128,195,0
27,130,196,0
27,129,197,0
27,129,197,0
26,127,197,0
27,124,196,0
27,116,196,0
27,116,194,0
27,111,191,0
27,108,191,0
27,112,192,0
27,113,194,0
27,111,197,0
27,115,198,0
26,117,199,0
26,119,199,0
26,120,200,0
26,119,201,0
26,117,201,0
26,117,201,0
26,116,200,0
26,115,201,0
26,116,203,0
26,115,204,0
26,117,202,0
26,118,201,0
26,117,201,0
26,117,200,0
26,118,199,0
26,118,199,0
26,117,200,0
26,117,200,0
26,117,201,0
26,117,200,0
26,117,200,0
26,117,200,0
26,117,201,0
26,117,201,0
26,118,199,0
26,118,198,0
26,117,201,0
26,114,205,0
26,118,204,0
26,119,202,0
26,119,202,0
26,118,203,0
26,122,201,0
26,124,198,0
26,127,197,0
26,126,198,0
26,126,199,0
26,126,199,0
26,126,199,0
26,126,199,0
26,122,200,0
26,122,200,0
26,122,200,0
26,122,200,0
26,119,201,0
26,120,200,0
26,120,200,0
26,120,200,0
26,122,200,0
26,123,199,0
26,125,196,0
26,126,194,0
26,124,197,0
26,124,197,0
26,124,197,0
26,125,196,0
26,124,197,0
26,124,198,0
26,122,200,0
26,122,201,0
26,126,199,0
26,126,198,0
26,126,198,0
26,126,199,0
26,124,201,0
26,124,201,0
26,126,199,0
26,126,198,0
26,124,201,0
26,126,199,0
26,128,195,0
26,129,193,0
26,129,194,0
26,126,198,0
26,126,199,0
26,127,197,0
26,126,198,0
26,127,197,0
26,128,196,0
27,130,196,0
27,129,197,0
27,129,197,0
26,127,197,0
26,125,196,0
26,117,199,0
27,115,195,0
27,110,192,0
27,108,192,0
27,110,194,0
27,113,194,0
27,112,196,0
27,115,198,0
26,117,199,0
26,120,198,0
26,120,199,0
26,119,201,0
26,117,200,0
26,117,200,0
26,115,201,0
26,115,201,0
26,116,202,0
26,116,203,0
26,117,202,0
26,117,202,0
26,119,201,0
25,121,203,0
25,121,203,0
25,120,204,0
25,121,202,0
25,123,199,0
25,123,199,0
25,122,201,0
25,121,203,0
25,121,202,0
25,120,204,0
25,120,204,0
25,121,202,0
25,120,204,0
25,119,206,0
25,121,202,0
25,121,202,0
25,120,204,0
25,123,204,0
25,124,202,0
25,125,200,0
25,125,200,0
26,127,201,0
26,127,201,0
26,127,201,0
26,127,201,0
26,127,201,0
26,127,201,0
26,127,201,0
26,126,202,0
25,123,203,0
25,122,205,0
26,121,203,0
26,121,203,0
26,121,202,0
26,121,202,0
26,122,200,0
26,124,198,0
26,126,195,0
26,128,192,0
26,124,197,0
26,122,200,0
26,125,200,0
26,127,197,0
26,127,197,0
26,125,200,0
26,124,201,0
26,126,199,0
26,123,199,0
26,124,197,0
26,125,196,0
26,122,200,0
26,121,203,0
26,121,202,0
26,123,199,0
26,124,197,0
26,122,200,0
26,124,198,0
26,124,197,0
26,124,198,0
26,122,200,0
26,122,201,0
26,122,200,0
26,124,197,0
26,122,200,0
26,128,196,0
26,128,196,0
26,126,198,0
26,127,197,0
26,128,196,0
26,124,197,0
26,126,195,0
26,118,197,0
27,113,194,0
27,108,192,0
27,107,191,0
27,110,194,0
27,112,195,0
27,112,196,0
27,115,198,0
26,117,199,0
26,120,197,0
26,120,199,0
26,119,201,0
26,117,201,0
26,117,201,0
26,115,201,0
26,115,202,0
26,116,202,0
26,116,202,0
26,117,202,0
26,117,202,0
26,119,201,0
25,121,202,0
25,121,203,0
25,120,204,0
25,121,202,0
25,122,200,0
25,123,199,0
25,122,200,0
25,121,203,0
25,121,202,0
25,120,204,0
25,120,204,0
25,121,202,0
25,120,204,0
25,119,206,0
25,121,202,0
25,122,201,0
25,121,203,0
25,123,203,0
25,124,201,0
25,125,200,0
25,124,201,0
26,126,202,0
26,126,202,0
26,127,201,0
26,127,200,0
26,127,200,0
26,127,200,0
26,127,200,0
26,126,202,0
25,122,205,0
25,121,207,0
26,119,205,0
26,120,204,0
26,121,203,0
26,122,201,0
26,123,199,0
26,124,197,0
26,126,194,0
26,127,193,0
26,124,197,0
26,122,201,0
26,124,202,0
26,126,199,0
