h,s,v,value
12,38,203,0
12,37,206,0
12,37,209,0
11,37,212,0
11,37,212,0
12,36,210,0
13,36,208,0
11,35,203,0
13,37,200,0
11,35,204,0
13,36,203,0
11,36,201,0
13,37,201,0
11,35,202,0
13,37,200,0
11,36,200,0
13,37,199,0
11,35,202,0
13,36,203,0
11,35,206,0
11,33,207,0
11,35,206,0
11,34,205,0
8,33,204,0
11,35,197,0
8,34,193,0
11,36,193,0
8,33,201,0
11,33,206,0
8,33,203,0
11,34,201,0
8,33,201,0
10,32,198,0
8,33,200,0
10,32,201,0
8,33,202,0
10,32,200,0
8,33,199,0
10,32,201,0
8,32,206,0
10,31,206,0
8,33,204,0
11,34,202,0
11,35,205,0
11,33,208,0
11,34,208,0
11,34,204,0
11,35,202,0
11,34,200,0
11,36,200,0
13,38,197,0
12,38,199,0
12,38,201,0
12,37,205,0
12,38,202,0
12,38,200,0
12,38,199,0
12,38,200,0
12,38,201,0
12,38,202,0
12,38,202,0
11,39,202,0
11,40,200,0
11,40,200,0
11,39,202,0
11,39,202,0
11,39,201,0
11,39,201,0
11,39,203,0
13,40,203,0
13,41,200,0
15,43,197,0
15,41,197,0
15,42,202,0
15,40,204,0
15,41,205,0
15,40,202,0
13,41,200,0
15,40,198,0
13,37,198,0
14,35,196,0
11,34,200,0
13,32,201,0
11,34,203,0
12,29,199,0
11,22,195,0
14,24,206,0
12,28,197,0
10,32,197,0
11,35,204,0
8,38,208,0
10,41,206,0
9,41,210,0
10,43,212,0
10,43,213,0
11,42,211,0
11,43,209,0
13,41,206,0
13,40,209,0
13,39,214,0
11,41,219,0
11,41,219,0
11,38,208,0
12,37,205,0
12,39,198,0
12,39,197,0
12,38,202,0
12,38,203,0
12,38,200,0
12,38,200,0
12,38,202,0
12,38,199,0
12,39,198,0
12,38,200,0
12,38,202,0
12,38,203,0
12,38,204,0
12,38,204,0
11,35,205,0
11,35,204,0
11,35,202,0
11,36,201,0
11,36,201,0
11,35,202,0
11,35,203,0
12,38,204,0
11,35,203,0
12,38,202,0
11,36,199,0
12,39,197,0
11,36,198,0
12,38,201,0
11,35,204,0
12,38,204,0
12,39,197,0
12,38,199,0
12,38,202,0
12,37,205,0
12,37,206,0
12,37,206,0
12,37,208,0
13,39,210,0
12,37,206,0
13,40,202,0
13,41,200,0
13,41,201,0
13,41,201,0
13,41,199,0
13,41,200,0
15,41,203,0
13,41,206,0
13,43,204,0
13,42,202,0
13,43,201,0
13,42,201,0
13,43,202,0
13,41,203,0
13,43,204,0
11,44,204,0
12,45,204,0
11,44,205,0
12,44,208,0
11,43,207,0
12,45,203,0
11,44,202,0
12,45,204,0
13,43,204,0
15,45,200,0
15,45,198,0
15,45,199,0
