h,s,v,value
15,42,199,1
15,41,198,1
17,44,198,1
15,41,198,1
17,44,199,1
15,42,200,1
14,45,202,1
12,45,205,1
12,45,206,1
13,42,201,1
13,42,200,1
13,42,199,1
13,42,200,1
13,42,202,1
13,41,204,1
13,41,205,1
13,41,204,1
13,41,204,1
13,41,205,1
13,41,206,1
13,41,206,1
13,41,204,1
13,41,203,1
13,41,203,1
13,41,203,1
11,43,206,1
11,43,206,1
11,43,207,1
11,43,208,1
11,43,209,1
11,43,208,1
11,44,204,1
11,44,201,1
11,44,201,1
11,44,204,1
11,43,208,1
11,43,210,1
11,43,210,1
11,43,209,1
11,43,209,1
11,43,210,1
9,41,209,1
9,41,209,1
9,41,210,1
9,41,212,1
9,41,212,1
9,41,211,1
9,41,210,1
9,41,211,1
9,41,211,1
9,41,212,1
9,41,211,1
9,41,210,1
9,41,209,1
9,42,208,1
9,42,208,1
9,42,208,1
10,40,210,1
10,40,208,1
10,41,207,1
10,41,207,1
10,41,207,1
10,41,206,1
10,41,205,1
10,41,205,1
10,40,208,1
10,40,209,1
10,40,209,1
10,40,208,1
10,40,208,1
10,40,210,1
10,40,211,1
10,40,211,1
11,45,212,1
11,45,212,1
11,42,212,1
10,40,211,1
10,40,210,1
10,40,210,1
10,40,209,1
11,43,210,1
10,43,212,1
11,45,212,1
10,43,212,1
11,42,211,1
11,38,209,1
11,34,208,1
9,30,207,1
9,24,203,1
8,19,203,1
5,16,205,1
15,29,210,1
13,31,204,1
13,37,200,1
12,38,199,1
13,42,201,1
13,43,201,1
13,43,200,1
14,46,200,1
14,46,200,1
15,45,200,1
15,45,200,1
14,46,201,1
14,45,202,1
13,48,204,1
12,49,205,1
12,48,206,1
12,46,201,1
13,42,199,1
13,42,198,1
13,42,198,1
13,42,199,1
13,42,200,1
13,42,201,1
13,42,201,1
13,42,202,1
13,41,204,1
13,41,205,1
13,41,205,1
13,41,205,1
13,41,204,1
13,41,204,1
13,41,205,1
11,43,208,1
11,43,207,1
11,43,206,1
11,43,206,1
11,43,207,1
11,43,207,1
11,43,206,1
11,44,205,1
11,44,205,1
11,43,207,1
11,43,209,1
11,43,210,1
11,43,210,1
11,43,209,1
11,43,210,1
10,44,211,1
7,44,211,1
7,44,211,1
7,43,212,1
7,43,215,1
7,43,215,1
7,43,213,1
7,44,211,1
7,43,212,1
7,44,211,1
7,43,212,1
7,43,213,1
7,43,213,1
