glucose,0,81.65,46.91,172.56
glucose,100,55.72,55.71,177.14
glucose,2000,10.30,75.47,144.29
glucose,250,33.82,75.77,175.29
glucose,250,35.88,65.68,174.65
glucose,50,51.05,41.96,171.07
glucose,50,48.62,44.36,168.69
glucose,50,66.70,40.93,178.82
glucose,500,26.37,66.84,164.32
ph,5.0,8.12,167.18,188.82
ph,5.0,6.97,169.07,159.94
ph,5.0,8.40,154.36,197.80
ph,6.0,17.24,152.43,200.76
ph,6.0,16.15,156.23,201.05
ph,6.0,17.83,141.29,217.64
ph,6.5,21.69,159.05,195.95
ph,6.5,22.23,148.90,206.95
ph,7.0,28.93,126.39,175.94
ph,7.0,27.51,135.80,155.77
ph,7.0,30.28,117.36,185.75
ph,7.5,39.56,97.44,134.67
ph,7.5,44.00,75.91,173.21
ph,8.0,90.11,119.09,134.53
ph,8.5,96.32,80.55,129.74
ph,8.5,93.06,75.89,96.56
protein,0,24.46,122.83,175.38
protein,0,28.22,110.52,187.10
protein,100,35.17,75.77,170.38
protein,100,38.78,52.29,152.77
protein,100,35.88,65.68,174.65
protein,15,51.05,41.96,171.07
protein,15,29.22,102.64,181.61
protein,15,32.92,91.50,200.14
protein,30,35.17,75.77,170.38
protein,30,36.40,67.98,184.26
protein,300,80.60,77.52,139.89
protein,300,84.53,84.52,173.65
protein,500,90.46,108.16,147.86
