h,s,v,value
6,121,201,5
6,122,199,5
6,122,197,5
6,122,197,5
6,120,199,5
6,120,200,5
6,119,197,5
6,121,198,5
6,120,199,5
6,122,199,5
6,122,199,5
5,120,200,5
5,119,199,5
5,120,200,5
5,119,200,5
5,119,201,5
5,118,201,5
4,116,203,5
4,115,201,5
4,117,201,5
4,116,200,5
4,115,201,5
4,115,200,5
4,116,200,5
4,116,200,5
4,119,202,5
3,119,203,5
4,118,203,5
4,118,203,5
4,118,203,5
4,118,203,5
4,119,202,5
4,117,200,5
4,119,197,5
4,118,198,5
4,118,198,5
4,118,197,5
4,118,197,5
4,118,197,5
4,118,197,5
4,118,196,5
5,121,196,5
5,120,198,5
5,119,200,5
5,119,199,5
5,120,197,5
5,121,196,5
5,120,197,5
5,120,198,5
5,120,198,5
5,120,198,5
5,119,197,5
5,119,197,5
5,119,197,5
5,119,197,5
5,119,197,5
5,119,197,5
6,123,197,5
6,126,197,5
6,122,197,5
6,121,198,5
5,120,196,5
5,121,194,5
5,120,195,5
5,118,198,5
5,121,196,5
5,122,195,5
4,120,194,5
4,116,191,5
3,109,192,5
3,104,192,5
6,98,188,5
6,102,187,5
6,109,192,5
6,115,197,5
6,122,202,5
6,128,203,5
6,129,204,5
6,129,204,5
6,128,203,5
6,124,199,5
7,124,197,5
7,123,195,5
7,125,196,5
6,125,198,5
6,126,199,5
7,127,200,5
6,126,198,5
6,125,200,5
6,124,202,5
6,123,203,5
6,124,201,5
6,124,201,5
6,124,202,5
6,122,203,5
6,124,200,5
6,124,199,5
6,124,199,5
7,123,199,5
6,123,201,5
7,123,199,5
6,124,200,5
6,122,202,5
6,124,201,5
6,124,201,5
6,124,201,5
6,124,201,5
5,122,201,5
5,122,201,5
5,121,202,5
5,121,202,5
5,121,202,5
5,122,201,5
5,120,200,5
5,120,200,5
5,120,200,5
5,120,200,5
4,117,200,5
4,122,201,5
4,121,204,5
4,125,206,5
4,121,205,5
5,123,205,5
4,121,205,5
5,123,205,5
4,121,205,5
5,124,204,5
4,122,201,5
5,124,202,5
4,121,202,5
5,124,202,5
4,122,201,5
5,124,198,5
5,122,197,5
5,125,196,5
5,124,198,5
6,125,200,5
5,123,203,5
6,124,201,5
5,124,201,5
6,126,198,5
5,124,201,5
6,125,200,5
5,123,199,5
6,126,199,5
5,122,200,5
6,124,199,5
5,122,200,5
6,124,199,5
5,122,200,5
6,126,199,5
7,129,197,5
7,129,198,5
7,128,199,5
6,124,199,5
6,126,197,5
6,127,195,5
6,126,196,5
6,125,200,5
6,124,201,5
5,123,199,5
5,124,198,5
4,118,196,5
4,113,192,5
3,109,192,5
6,101,189,5
7,106,190,5
6,111,193,5
7,117,198,5
7,125,202,5
7,129,203,5
6,131,203,5
6,130,204,5
7,131,201,5
7,128,199,5
7,127,198,5
7,126,198,5
7,127,199,5
7,128,199,5
7,129,199,5
7,131,201,5
6,129,201,5
6,128,204,5
6,126,206,5
6,126,206,5
6,127,205,5
7,126,202,5
7,125,204,5
7,124,205,5
7,126,202,5
7,127,201,5
7,127,200,5
7,126,200,5
7,127,201,5
7,127,199,5
7,127,201,5
7,125,204,5
7,127,201,5
6,128,203,5
6,128,203,5
6,128,203,5
6,126,203,5
6,126,203,5
6,126,203,5
6,125,204,5
6,126,203,5
6,126,202,5
5,124,201,5
5,124,201,5
5,124,201,5
5,124,201,5
4,122,201,5
5,125,200,5
5,124,204,5
5,127,206,5
4,124,207,5
5,127,207,5
4,124,207,5
5,127,207,5
5,123,205,5
5,126,204,5
5,124,203,5
5,127,203,5
5,123,205,5
6,125,204,5
5,123,204,5
6,126,202,5
5,126,199,5
6,129,198,5
6,127,200,5
6,129,201,5
5,126,204,5
6,128,203,5
5,127,203,5
6,129,202,5
5,127,203,5
6,128,203,5
6,126,202,5
6,129,202,5
6,126,202,5
7,128,199,5
6,127,201,5
7,127,200,5
6,126,202,5
6,129,202,5
7,132,199,5
7,131,200,5
7,131,201,5
7,127,200,5
7,129,198,5
7,130,196,5
7,129,198,5
6,128,203,5
6,127,205,5
6,124,205,5
5,123,203,5
5,120,199,5
4,116,195,5
4,113,192,5
6,101,190,5
7,106,190,5
6,111,193,5
6,118,199,5
7,126,203,5
6,130,204,5
6,132,205,5
7,134,206,5
6,131,202,5
7,129,200,5
7,126,201,5
7,124,201,5
7,126,202,5
7,126,202,5
7,129,203,5
7,130,202,5
6,128,203,5
6,126,206,5
6,125,208,5
6,126,207,5
6,127,205,5
6,128,203,5
7,126,202,5
7,125,204,5
7,125,204,5
7,126,202,5
7,127,201,5
7,127,201,5
7,127,201,5
7,127,200,5
7,127,201,5
7,125,204,5
6,129,202,5
6,129,202,5
6,129,201,5
6,129,201,5
6,129,201,5
6,129,201,5
6,127,201,5
6,127,201,5
6,126,202,5
6,127,201,5
6,127,200,5
6,127,200,5
5,124,201,5
5,124,201,5
5,125,200,5
5,125,200,5
5,127,203,5
5,126,204,5
5,127,206,5
5,126,205,5
5,126,205,5
5,126,205,5
5,126,204,5
6,126,203,5
5,129,200,5
6,127,200,5
5,127,203,5
6,125,204,5
6,125,204,5
6,127,201,5
6,128,199,5
6,129,198,5
5,129,199,5
6,131,200,5
6,131,201,5
6,130,202,5
6,130,202,5
6,130,202,5
6,129,203,5
6,129,203,5
6,128,203,5
6,129,202,5
6,129,201,5
6,129,201,5
6,129,201,5
6,129,201,5
6,129,202,5
6,128,203,5
6,133,200,5
7,134,200,5
7,130,202,5
7,130,202,5
7,129,198,5
7,129,197,5
7,131,200,5
7,129,204,5
6,128,205,5
6,128,204,5
5,123,203,5
5,120,199,5
4,117,194,5
4,113,192,5
6,101,189,5
7,107,189,5
6,110,194,5
6,117,200,5
6,124,202,5
6,129,205,5
6,131,207,5
6,133,203,5
6,129,203,5
7,127,201,5
7,126,201,5
7,125,202,5
7,125,202,5
7,126,203,5
7,127,207,5
7,127,207,5
6,125,208,5
6,121,210,5
6,123,208,5
6,125,204,5
6,126,203,5
6,124,205,5
6,123,208,5
6,122,209,5
6,124,206,5
6,125,204,5
6,127,201,5
6,127,200,5
6,127,201,5
6,126,203,5
6,126,203,5
6,126,203,5
6,125,200,5
6,124,201,5
6,123,203,5
6,122,205,5
6,123,203,5
6,126,199,5
5,123,199,5
5,122,201,5
5,122,200,5
5,122,200,5
5,122,200,5
5,122,200,5
5,122,200,5
5,122,200,5
5,123,199,5
5,125,200,5
5,124,202,5
5,123,203,5
5,123,206,5
5,123,204,5
5,124,202,5
5,124,202,5
5,123,203,5
5,121,202,5
5,124,202,5
5,122,200,5
5,124,202,5
5,122,201,5
5,122,201,5
5,123,199,5
5,122,200,5
6,125,204,5
5,126,204,5
5,127,203,5
6,127,201,5
6,127,201,5
6,126,202,5
6,126,203,5
6,126,203,5
6,126,202,5
6,127,201,5
6,126,203,5
6,123,203,5
6,123,203,5
6,124,201,5
6,125,200,5
6,125,200,5
7,127,201,5
7,133,198,5
7,132,199,5
6,129,201,5
7,128,199,5
7,129,198,5
7,129,198,5
7,128,199,5
7,127,200,5
6,129,201,5
6,128,204,5
5,122,201,5
5,122,195,5
4,114,190,5
3,108,193,5
6,101,189,5
7,107,188,5
6,111,195,5
6,118,199,5
6,125,204,5
6,127,206,5
5,129,210,5
6,132,205,5
6,129,204,5
7,126,202,5
7,126,203,5
7,124,203,5
6,122,203,5
7,125,204,5
6,126,207,5
6,125,208,5
6,122,209,5
6,122,209,5
6,124,206,5
6,126,203,5
6,125,204,5
6,123,207,5
6,122,209,5
6,123,208,5
6,124,206,5
6,124,205,5
6,126,203,5
6,126,202,5
6,126,202,5
6,126,203,5
6,125,204,5
6,125,204,5
6,125,200,5
6,124,201,5
5,120,204,5
6,122,205,5
5,121,203,5
5,122,200,5
5,122,200,5
5,121,202,5
5,122,200,5
5,123,199,5
5,124,198,5
5,123,199,5
5,122,201,5
5,121,202,5
5,122,201,5
5,123,199,5
5,124,198,5
5,122,200,5
5,123,204,5
5,122,201,5
5,122,200,5
5,122,200,5
5,122,201,5
5,121,202,5
5,123,199,5
5,123,199,5
5,122,200,5
5,122,201,5
5,122,201,5
5,122,200,5
5,122,200,5
5,121,202,5
5,123,203,5
6,127,201,5
6,127,200,5
6,127,200,5
6,126,202,5
6,126,203,5
6,126,202,5
6,126,202,5
6,127,201,5
6,126,199,5
6,125,200,5
6,125,200,5
6,124,201,5
6,124,201,5
6,124,201,5
6,124,201,5
6,131,199,5
6,130,200,5
7,128,199,5
7,128,199,5
6,126,198,5
7,129,198,5
7,129,198,5
7,128,199,5
7,128,199,5
6,124,202,5
6,121,200,5
5,121,194,5
4,113,190,5
4,107,191,5
6,98,190,5
6,104,188,5
5,110,194,5
6,115,199,5
5,123,204,5
6,127,207,5
5,128,211,5
6,129,207,5
5,127,203,5
6,124,201,5
6,124,201,5
6,124,200,5
5,122,201,5
6,124,202,5
6,124,205,5
6,124,206,5
6,122,205,5
5,121,202,5
5,123,199,5
5,124,198,5
5,123,203,5
5,121,206,5
5,121,207,5
5,122,205,5
5,123,206,5
5,123,206,5
5,123,206,5
5,123,205,5
5,124,204,5
5,124,203,5
5,124,204,5
5,123,203,5
5,122,201,5
5,121,202,5
5,118,204,5
5,119,205,5
5,118,203,5
5,120,200,5
5,120,200,5
5,119,202,5
5,120,200,5
5,121,198,5
5,122,197,5
5,121,198,5
5,119,202,5
5,118,203,5
5,119,202,5
5,120,199,5
5,121,198,5
