h,s,v,value
90,58,177,0
90,57,178,0
90,57,178,0
90,58,177,0
89,60,179,0
89,60,179,0
89,60,179,0
89,60,178,0
89,60,178,0
89,63,179,0
89,62,180,0
89,62,180,0
89,62,181,0
89,62,181,0
89,62,181,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,181,0
89,62,181,0
89,62,182,0
89,61,183,0
89,62,182,0
89,62,181,0
89,62,181,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,181,0
89,64,184,0
89,64,184,0
89,64,183,0
89,64,183,0
89,64,183,0
89,64,183,0
89,64,184,0
89,64,184,0
90,67,184,0
90,67,184,0
90,67,184,0
90,67,184,0
90,67,184,0
90,66,185,0
90,63,185,0
90,63,186,0
90,63,185,0
90,64,184,0
90,64,184,0
90,64,184,0
90,64,184,0
90,63,185,0
90,63,185,0
90,63,185,0
92,64,187,0
93,61,188,0
92,64,188,0
92,64,188,0
94,65,191,0
94,65,192,0
94,64,194,0
94,64,196,0
94,62,194,0
93,60,190,0
93,59,189,0
91,57,187,0
92,56,187,0
92,56,188,0
87,30,171,0
87,33,171,0
91,40,174,0
92,46,177,0
92,52,178,0
92,58,179,0
91,60,178,0
91,60,179,0
90,58,176,0
89,58,176,0
89,57,176,0
88,57,176,0
88,57,176,0
87,59,177,0
89,58,176,0
89,58,176,0
90,57,178,0
90,57,179,0
90,57,179,0
90,57,179,0
89,60,180,0
89,60,179,0
89,60,179,0
89,60,180,0
89,60,180,0
89,60,179,0
89,60,179,0
89,60,179,0
89,62,180,0
89,62,180,0
89,63,179,0
89,63,179,0
89,64,182,0
89,64,182,0
89,64,182,0
89,64,183,0
89,64,182,0
89,64,182,0
89,65,181,0
89,65,181,0
89,65,181,0
89,65,181,0
89,64,182,0
89,64,182,0
89,64,183,0
89,64,184,0
89,64,184,0
89,64,184,0
89,63,186,0
89,63,186,0
89,63,186,0
89,63,185,0
89,63,185,0
89,63,185,0
89,63,185,0
88,67,186,0
88,67,186,0
88,67,186,0
88,68,185,0
88,68,185,0
88,68,185,0
88,68,185,0
88,68,185,0
88,69,185,0
89,69,185,0
89,69,185,0
89,69,186,0
89,69,185,0
89,69,185,0
89,69,185,0
89,69,186,0
90,66,185,0
90,65,188,0
90,65,188,0
90,65,188,0
90,65,188,0
90,65,188,0
90,65,188,0
90,65,188,0
90,65,189,0
92,66,186,0
92,66,185,0
92,66,185,0
92,66,186,0
93,67,190,0
93,66,192,0
93,66,194,0
93,66,194,0
94,64,194,0
94,65,193,0
93,60,190,0
93,60,190,0
93,59,190,0
91,57,189,0
87,33,172,0
86,37,172,0
91,43,174,0
92,47,178,0
93,55,181,0
94,60,182,0
93,62,181,0
91,61,180,0
91,61,179,0
89,60,178,0
89,58,177,0
89,58,177,0
89,58,177,0
89,58,177,0
90,58,177,0
89,60,178,0
91,61,180,0
91,61,181,0
91,60,182,0
91,60,182,0
91,60,182,0
91,61,181,0
91,63,182,0
91,63,182,0
91,63,182,0
91,63,181,0
91,63,181,0
91,63,182,0
91,63,182,0
91,63,182,0
91,63,182,0
91,63,181,0
89,65,181,0
88,68,183,0
88,68,183,0
88,68,184,0
88,68,184,0
88,68,183,0
88,69,182,0
88,69,182,0
88,69,182,0
88,69,182,0
88,68,184,0
88,68,185,0
88,67,186,0
88,67,186,0
88,67,186,0
88,67,186,0
90,67,184,0
90,66,185,0
90,66,185,0
90,66,185,0
90,66,185,0
90,66,185,0
90,67,184,0
89,69,185,0
89,69,186,0
89,69,186,0
89,69,186,0
89,69,186,0
89,69,186,0
89,69,186,0
89,69,186,0
89,71,186,0
89,71,187,0
89,71,187,0
89,71,188,0
89,71,187,0
89,71,186,0
89,71,186,0
89,71,188,0
89,68,188,0
89,68,187,0
89,68,187,0
89,69,186,0
89,69,186,0
89,69,186,0
89,68,187,0
89,68,187,0
90,66,186,0
92,66,186,0
93,68,187,0
93,69,186,0
92,71,188,0
92,69,192,0
92,68,194,0
93,69,195,0
93,70,193,0
93,66,192,0
93,67,191,0
94,65,191,0
92,63,189,0
93,60,190,0
93,60,190,0
86,38,170,0
89,39,170,0
