h,s,v,value
14,73,204,0.5
14,70,205,0.5
14,72,206,0.5
14,69,206,0.5
14,69,207,0.5
14,69,206,0.5
14,70,205,0.5
13,71,206,0.5
14,69,207,0.5
13,70,208,0.5
14,70,205,0.5
13,71,205,0.5
14,70,205,0.5
13,71,205,0.5
14,69,206,0.5
13,70,207,0.5
14,70,205,0.5
13,70,207,0.5
14,69,207,0.5
13,71,206,0.5
14,71,200,0.5
14,71,201,0.5
14,70,204,0.5
14,70,205,0.5
14,70,205,0.5
14,70,205,0.5
14,69,207,0.5
14,69,208,0.5
14,68,209,0.5
14,69,208,0.5
14,69,208,0.5
14,69,207,0.5
14,69,206,0.5
14,69,206,0.5
14,69,207,0.5
13,70,209,0.5
14,72,209,0.5
14,72,205,0.5
15,73,205,0.5
14,71,207,0.5
14,72,206,0.5
14,71,202,0.5
14,70,204,0.5
13,67,206,0.5
13,68,203,0.5
13,63,204,0.5
13,61,205,0.5
12,57,206,0.5
12,54,206,0.5
11,41,217,0.5
11,45,209,0.5
12,55,204,0.5
11,59,204,0.5
12,65,209,0.5
13,67,208,0.5
12,69,210,0.5
13,72,210,0.5
12,69,212,0.5
13,67,209,0.5
12,65,208,0.5
12,64,206,0.5
13,68,207,0.5
13,68,207,0.5
13,72,210,0.5
13,71,211,0.5
13,71,211,0.5
14,72,208,0.5
13,70,207,0.5
14,73,206,0.5
14,73,206,0.5
14,72,208,0.5
13,74,210,0.5
13,74,210,0.5
13,74,209,0.5
13,74,211,0.5
13,75,212,0.5
13,75,210,0.5
13,75,210,0.5
13,75,212,0.5
13,75,212,0.5
13,75,211,0.5
13,76,211,0.5
14,76,209,0.5
14,76,209,0.5
14,76,209,0.5
14,76,208,0.5
14,76,208,0.5
14,76,208,0.5
14,76,207,0.5
14,76,209,0.5
15,74,207,0.5
14,73,207,0.5
15,74,207,0.5
14,73,207,0.5
15,74,207,0.5
14,73,207,0.5
14,73,207,0.5
14,73,207,0.5
14,73,206,0.5
13,75,208,0.5
14,73,207,0.5
13,74,209,0.5
14,73,206,0.5
13,75,208,0.5
14,73,207,0.5
13,75,207,0.5
14,73,207,0.5
13,74,209,0.5
14,74,204,0.5
13,75,208,0.5
14,72,209,0.5
13,74,210,0.5
14,74,204,0.5
14,73,206,0.5
14,72,208,0.5
14,72,210,0.5
14,72,208,0.5
14,72,206,0.5
14,71,208,0.5
14,71,209,0.5
14,71,209,0.5
14,71,208,0.5
14,71,209,0.5
14,71,208,0.5
14,72,205,0.5
14,72,205,0.5
14,71,207,0.5
14,71,208,0.5
14,71,207,0.5
14,73,203,0.5
14,73,204,0.5
14,72,208,0.5
14,73,207,0.5
14,74,204,0.5
13,71,206,0.5
13,67,207,0.5
13,68,204,0.5
13,63,203,0.5
13,61,205,0.5
12,57,205,0.5
12,57,205,0.5
11,43,218,0.5
11,50,211,0.5
11,56,205,0.5
12,63,205,0.5
11,67,210,0.5
13,71,211,0.5
12,72,212,0.5
12,73,211,0.5
11,70,212,0.5
12,69,210,0.5
11,67,210,0.5
12,65,208,0.5
12,69,210,0.5
12,69,210,0.5
12,73,211,0.5
12,72,212,0.5
13,74,213,0.5
13,74,211,0.5
13,74,209,0.5
13,75,207,0.5
14,76,207,0.5
14,76,209,0.5
13,76,211,0.5
13,77,210,0.5
13,77,209,0.5
13,76,211,0.5
13,77,212,0.5
13,78,210,0.5
13,77,211,0.5
13,79,214,0.5
13,76,214,0.5
13,79,212,0.5
14,79,210,0.5
